ID de actividad,Fecha de la actividad,Nombre de la actividad,Tipo de actividad,Descripción de la actividad,Tiempo transcurrido,Distancia,Ritmo cardiaco máximo,Esfuerzo Relativo,Desplazamiento,Nota privada de actividad,Equipamiento de la actividad,Nombre del archivo,Peso del deportista,Peso de la bicicleta,Tiempo transcurrido,Tiempo en movimiento,Distancia,Velocidad máxima,Velocidad promedio,Desnivel positivo,Desnivel negativo,Desnivel bajo,Desnivel alto,Pendiente máxima,Pendiente promedio,Pendiente positiva promedio,Pendiente negativa promedio,Cadencia máx.,Cadencia promedio,Ritmo cardiaco máximo,Ritmo cardiaco promedio,Vatios máx.,Vatios promedio,Calorías,Temperatura máx.,Temperatura promedio,Esfuerzo Relativo,Trabajo total,Número de carreras,Tiempo en ascenso,Tiempo en descenso,Otro tiempo,Esfuerzo Percibido,Tipo,Hora de inicio,Potencia promedio ponderada,Recuento de potencia,Usar Esfuerzo Percibido,Esfuerzo Relativo percibido,Desplazamiento,Peso total levantado,Desde la carga,Distancia ajustada en pendientes,Hora de observación meteorológica,Condición meteorológica,Temperatura meteorológica,Temperatura aparente,Punto de rocío,Humedad,Presión meteorológica,Velocidad del viento,Ráfaga de viento,Dirección del viento,Intensidad de precipitación,Hora del amanecer,Hora del atardecer,Fase lunar,Bicicleta,Equipamiento,Probabilidad de precipitación,Tipo de precipitación,Nubosidad,Visibilidad meteorológica,Índice UV,Ozono meteorológico,Recuento de saltos,Grit total,Flow promedio,Denunciado,Velocidad promedio durante el tiempo transcurrido,Distancia en tierra,Distancia recientemente explorada,Distancia en rampas de tierra recientemente explorada,Recuento de actividades,Total de pasos,Ahorro en carbono,Largo de la piscina,Carga de entrenamiento,Intensidad,Ritmo ajustado en pendientes promedio,Tiempo cronometrado,Ciclos en total,Recuperación,Con mascota,Competición,Carrera de larga distancia,Por una causa,Multimedia
15228065601,"25 jul 2025, 5:08:52",Natación de mañana en piscina.,Natación,Bien,3118,1.725,,,false,,,activities/16262244078.fit.gz,,,3118.0,3103.0,1725.0,1.332,0.556,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,316.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.553,0.0,,,,,0.0,25.0,,,,,,,,,,,""
15270642292,"29 jul 2025, 4:19:58",Bicicleta por la mañana con Toni,Bicicleta,"",5022,"37,66",,,false,,,activities/16307849969.fit.gz,,9.0,5022.0,4859.0,37666.0,12.855,7.752,131.8,127.5,0.6,13.1,6.7,0.0,,,,,,,,138.0,834.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,14.4,,,,,0.0,,,,,,,,,,,,media/50251609-3F83-4DCF-985A-2D2E16EFBB1F.jpg
15282593067,"30 jul 2025, 5:07:04",Último entrene con DAVID. 🥹🥹,Natación,"",2810,2.800,,,false,,,activities/16320568729.fit.gz,,,2810.0,2802.0,2799.7,4.053,0.999,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,466.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.996,0.0,,,,,0.0,0.0,,,,,,,,,,,media/E241E9F5-367A-4205-AA56-424CC3ECC232.jpg
15293846162,"31 jul 2025, 4:29:32",En solitario.,Bicicleta,"",3423,"28,33",,,false,,,activities/16332578771.fit.gz,,9.0,3423.0,3294.0,28331.3,12.954,8.601,66.7,68.9,0.6,13.1,6.6,0.0,,,,,,,,163.0,663.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.277,18.6,,,,,0.0,,,,,,,,,,,,media/4D2DC596-C2A7-4BB8-ADB1-CF1F611F882E.jpg
15304947322,"1 ago 2025, 5:03:03","Con Luis , un grandeeeee💪🏻💪🏻🤗",Natación,"",3820,2.979,,,false,,,activities/16344439299.fit.gz,,,3820.0,3813.0,2979.2,2.502,0.781,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,553.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.0,,,,,0.0,0.0,,,,,,,,,,,""
15316457961,"2 ago 2025, 5:21:38",Bicicleta por la mañana con TRICNP. Y el octavo pasajero. 🤭🤭🕷️,Bicicleta,"",14461,"95,54",165.0,382,false,,,activities/16356779024.fit.gz,,9.0,14461.0,12673.0,95542.4,19.664,7.539,763.7,763.6,7.1,575.4,8.9,0.0,,,,,165.0,132.0,,142.0,2248.0,,,382.0,,,,,,,,,,,,,0.0,,1.0,,1754110848.0,1.0,22.7,23.0,19.9,0.84,1013.6,1.4,2.5,300.0,0.0,1754110976.0,1754161920.0,0.25,,,0.0,1.0,0.0,30345.0,0.0,,,,,,6.607,0.0,,,,,0.0,,,,,,,,,,,,media/F38956A6-9D4C-4860-B6B8-F9A81A127EC7.jpg|media/5F23196E-FE10-4719-A79D-62717359E60F.jpg
15326179474,"3 ago 2025, 5:16:21",Con Luis CMP. MUCHAS MEDUSAS 🪼🪼🪼🪼🪼🪼🪼🪼🪼🪼🪼🪼,Natación,"",3866,3.121,,,false,,,activities/16367223767.fit.gz,,,3866.0,3859.0,3120.9,2.65,0.809,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,548.0,,,,,,,,,,,,,,,,0.0,,1.0,,1754197248.0,1.0,23.3,24.0,19.9,0.81,1016.0,1.3,3.0,17.0,0.0,1754197376.0,1754248320.0,0.375,,,0.0,1.0,0.3,28656.0,0.0,,,,,,0.807,0.0,,,,,0.0,0.0,,,,,,,,,,,media/C4CA938E-AB46-4F23-83C1-60EB2B09F9F8.jpg
15337551859,"4 ago 2025, 4:36:41",Luis y yo. Menos medusas. 🪼🪼,Natación,"",4817,3.688,,,false,,,activities/15337551859.gpx,,,4817.0,1831.0,3687.9,2.0,2.014,0.0,0.0,0.0,0.1,1.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1754279936.0,2.0,25.4,26.7,22.0,0.82,1020.6,1.3,2.4,213.0,0.0,1754283776.0,1754334592.0,0.375,,,0.0,1.0,0.58,23050.0,0.0,,,,,,0.766,0.0,,,,,0.0,,,,,,,,,,,,media/B5668CC4-13CE-402B-BD08-39683467517F.jpg|media/0EA6851D-E26B-4266-8331-2745883D1B6E.jpg
15349311109,"5 ago 2025, 5:07:30",Con TRICNP.,Bicicleta,"",11847,"72,23",,,false,,,activities/15349311109.gpx,,9.0,11847.0,10562.0,72232.9,19.4,6.839,669.9,671.4,7.4,490.3,21.5,0.0,,,,,,,,140.0,1653.0,,,,,,,,,,,,,,,,0.0,,1.0,,1754370048.0,1.0,22.4,22.8,19.1,0.82,1018.8,1.1,1.7,282.0,0.0,1754370304.0,1754420992.0,0.375,,,0.0,1.0,0.01,29379.0,0.0,,,,,,6.097,2824.0,,,,,0.0,,,,,,,,,,,,media/10399C64-AFE0-4A16-BDDC-44AE376FF61D.jpg
15360683232,"6 ago 2025, 4:34:47",3000 con Borja y Luis. Mucha medusa 🪼🪼🪼🪼🪼🪼línea de boyas.,Natación,"",4032,300,,,false,,,activities/16404104907.fit.gz,,,4032.0,4016.0,300.0,0.391,0.075,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,669.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,0.0,,,,,0.0,25.0,,,,,,,,,,,media/F3D0A9CA-EA85-47AD-884C-47318A4FEA75.jpg
